Cabang,Kategori,Budget,NilaiStok,Qty,Item,Selisih,Serapan %,Status
CILANGKAP,Sparepart,185000000.0,127363176.537636,1086.0,3127,-57636823.462364,68.8,Kurang
CILANGKAP,Lainnya,0.0,3565000.0,8.0,24,3565000.0,,Tanpa budget
CINERE,Aksesoris,55000000.0,70707076.376198,1482.0,735,15707076.376197994,128.6,Over
CINERE,Handphone,40000000.0,44280108.012815,132.0,196,4280108.012814999,110.7,Over
CINERE,Laptop,70000000.0,34906219.99999,9.0,82,-35093780.00001,49.9,Kurang
CINERE,Sparepart,165000000.0,421106336.697557,4562.0,2660,256106336.69755697,255.2,Over
CINERE,Lainnya,0.0,5261906.941386,14.0,31,5261906.941386,,Tanpa budget
CONDET,Aksesoris,89250000.0,68215138.939884,2103.0,1890,-21034861.060115993,76.4,Kurang
CONDET,Handphone,60240000.0,64399909.550292,38.0,335,4159909.550292,106.9,Over
CONDET,Laptop,107640000.0,81729166.666666,23.0,297,-25910833.333334,75.9,Kurang
CONDET,Sparepart,241500000.0,303745129.777775,3264.0,10240,62245129.77777499,125.8,Over
CONDET,Lainnya,0.0,20375250.0,71.0,46,20375250.0,,Tanpa budget
DRAMAGA,Aksesoris,31187500.0,48999189.903184,1077.0,1268,17811689.903183997,157.1,Over
DRAMAGA,Handphone,21720000.0,27839441.666667998,60.0,233,6119441.666667998,128.2,Over
DRAMAGA,Laptop,43800000.0,46658454.545453,17.0,187,2858454.545452997,106.5,Over
DRAMAGA,Sparepart,141750000.0,287709410.196147,3634.0,3920,145959410.19614702,203.0,Over
DRAMAGA,Lainnya,0.0,9163000.0,29.0,124,9163000.0,,Tanpa budget
JATIBENING,Aksesoris,63000000.0,60072230.732481,1723.0,1898,-2927769.267518997,95.4,Sesuai
JATIBENING,Handphone,40040000.0,44306469.787876,29.0,352,4266469.7878760025,110.7,Over
JATIBENING,Laptop,76608000.0,98172723.945657,25.0,225,21564723.945657,128.1,Over
JATIBENING,Sparepart,152250000.0,350645559.01291,3970.0,3807,198395559.01291,230.3,Over
JATIBENING,Lainnya,0.0,13474250.0,56.0,149,13474250.0,,Tanpa budget
JATIMULYA,Aksesoris,41984000.0,53451425.323084,1908.0,1920,11467425.323083997,127.3,Over
JATIMULYA,Handphone,20138500.0,9861008.163265001,5.0,248,-10277491.836734999,49.0,Kurang
JATIMULYA,Laptop,37440000.0,39667892.333326,11.0,203,2227892.333325997,106.0,Over
JATIMULYA,Sparepart,181979500.0,378545241.508139,5459.0,4929,196565741.508139,208.0,Over
JATIMULYA,Lainnya,0.0,14368856.2517,-51.0,151,14368856.2517,,Tanpa budget
JATIWARINGIN,Aksesoris,32000000.0,41971491.863361,1231.0,698,9971491.863361001,131.2,Over
JATIWARINGIN,Handphone,50000000.0,52078358.523686,43.0,151,2078358.5236859992,104.2,Sesuai
JATIWARINGIN,Laptop,65000000.0,32750000.0,11.0,60,-32250000.0,50.4,Kurang
JATIWARINGIN,Sparepart,160000000.0,233717211.47321,4048.0,2972,73717211.47321,146.1,Over
JATIWARINGIN,Lainnya,0.0,12323214.0,57.0,34,12323214.0,,Tanpa budget
KARAWANG,Aksesoris,80000000.0,122261597.638925,1888.0,787,42261597.638925,152.8,Over
KARAWANG,Handphone,55000000.0,48494466.333335,38.0,137,-6505533.666665003,88.2,Kurang
KARAWANG,Laptop,65000000.0,28299999.999993,8.0,75,-36700000.000007,43.5,Kurang
KARAWANG,Sparepart,220000000.0,296616956.49742,4014.0,2795,76616956.49742001,134.8,Over
KARAWANG,Lainnya,0.0,21051791.666670002,101.0,38,21051791.666670002,,Tanpa budget
KLENDER,Aksesoris,140661000.0,53484787.020826,1409.0,2592,-87176212.979174,38.0,Kurang
KLENDER,Handphone,50069500.0,39397306.718388,36.0,374,-10672193.281612001,78.7,Kurang
KLENDER,Laptop,70047000.0,69342075.358025,15.0,255,-704924.6419750005,99.0,Sesuai
KLENDER,Sparepart,681731000.0,439279068.094784,6313.0,6183,-242451931.90521598,64.4,Kurang
KLENDER,Lainnya,0.0,19434672.44156,188.0,148,19434672.44156,,Tanpa budget
RADJIMAN,Aksesoris,39377000.0,19351367.08338,526.0,642,-20025632.91662,49.1,Kurang
RADJIMAN,Handphone,12510000.0,7734600.0,4.0,121,-4775400.0,61.8,Kurang
RADJIMAN,Laptop,23562000.0,11900000.000001,3.0,80,-11661999.999999,50.5,Kurang
RADJIMAN,Sparepart,180623000.0,205865297.148568,3191.0,2673,25242297.148568004,114.0,Over
RADJIMAN,Lainnya,0.0,33681093.670241,427.0,668,33681093.670241,,Tanpa budget
SAWANGAN,Aksesoris,109095000.0,42833212.538172,715.0,1335,-66261787.461828,39.3,Kurang
SAWANGAN,Handphone,47739000.0,37938518.573913,54.0,228,-9800481.426087,79.5,Kurang
SAWANGAN,Laptop,68917500.0,36489999.999999,10.0,151,-32427500.000001,52.9,Kurang
SAWANGAN,Sparepart,210780500.0,340438798.060823,3137.0,3625,129658298.06082302,161.5,Over
SAWANGAN,Lainnya,0.0,2964999.99995,9.0,156,2964999.99995,,Tanpa budget
WARBONG,Aksesoris,41984000.0,40482767.115887,889.0,1045,-1501232.8841129988,96.4,Sesuai
WARBONG,Handphone,20138500.0,19876498.999999,18.0,195,-262001.00000099838,98.7,Sesuai
WARBONG,Laptop,37440000.0,35659122.000001,12.0,144,-1780877.9999990016,95.2,Sesuai
WARBONG,Sparepart,181979500.0,268490622.622025,3299.0,3646,86511122.62202501,147.5,Over
WARBONG,Lainnya,0.0,19493775.999998,40.0,193,19493775.999998,,Tanpa budget
